INFO 2025-05-04 15:50:53,069 autoreload Watching for file changes with StatReloader
INFO 2025-05-04 15:56:36,209 basehttp "POST /o/token/ HTTP/1.1" 200 120
WARNING 2025-05-04 15:56:37,055 log Forbidden: /api/server-info/
WARNING 2025-05-04 15:56:37,067 basehttp "POST /api/server-info/ HTTP/1.1" 403 63
WARNING 2025-05-04 15:56:38,388 log Forbidden: /api/server-info/
WARNING 2025-05-04 15:56:38,389 basehttp "POST /api/server-info/ HTTP/1.1" 403 63
WARNING 2025-05-04 15:56:40,499 log Forbidden: /api/server-info/
WARNING 2025-05-04 15:56:40,501 basehttp "POST /api/server-info/ HTTP/1.1" 403 63
WARNING 2025-05-04 15:56:41,428 log Forbidden: /api/firewall-status/
WARNING 2025-05-04 15:56:41,454 basehttp "POST /api/firewall-status/ HTTP/1.1" 403 63
WARNING 2025-05-04 15:56:42,575 log Forbidden: /api/firewall-status/
WARNING 2025-05-04 15:56:42,577 basehttp "POST /api/firewall-status/ HTTP/1.1" 403 63
WARNING 2025-05-04 15:56:44,739 log Forbidden: /api/firewall-status/
WARNING 2025-05-04 15:56:44,754 basehttp "POST /api/firewall-status/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:17,880 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:17,882 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:18,159 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:18,243 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:19,725 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:19,796 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:19,853 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:19,954 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:20,264 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:20,395 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:20,427 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:20,520 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:22,251 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:22,328 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:22,488 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:22,516 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:22,641 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:22,665 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:22,739 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:22,798 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:25,062 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:25,109 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:00:25,308 log Forbidden: /api/events/
WARNING 2025-05-04 16:00:25,323 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:02:05,362 log Forbidden: /api/events/
WARNING 2025-05-04 16:02:05,364 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:02:05,384 log Forbidden: /api/events/
WARNING 2025-05-04 16:02:05,386 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:02:06,486 log Forbidden: /api/events/
WARNING 2025-05-04 16:02:06,487 log Forbidden: /api/events/
WARNING 2025-05-04 16:02:06,488 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:02:06,489 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:02:08,539 log Forbidden: /api/events/
WARNING 2025-05-04 16:02:08,541 basehttp "POST /api/events/ HTTP/1.1" 403 63
